Rank,Title,Release_Year,Domestic Box Office,International Box Office,Total Box Office
192,Mission: Impossible—Rogue Nation,2015,"$195,042,377","$505,825,986","$700,868,363"
193,The Polar Express,2004,"$194,949,659","$124,140,582","$319,090,241"
194,Madagascar,2005,"$193,595,521","$362,964,045","$556,559,566"
195,Twilight,2008,"$192,769,854","$209,510,305","$402,280,159"
196,Toy Story,1995,"$191,796,233","$172,749,283","$364,545,516"
197,22 Jump Street,2014,"$191,719,337","$139,614,539","$331,333,876"
198,Cars 2,2011,"$191,450,875","$368,704,508","$560,155,383"
199,Teenage Mutant Ninja Turtles,2014,"$191,204,754","$293,800,000","$485,004,754"
200,Men in Black 2,2002,"$190,418,803","$251,349,000","$441,767,803"
201,Wreck-It Ralph,2012,"$189,412,677","$307,098,844","$496,511,521"
202,Interstellar,2014,"$188,017,894","$480,895,413","$668,913,307"
203,Gladiator,2000,"$187,683,805","$270,000,000","$457,683,805"
204,The Croods,2012,"$187,168,425","$385,900,000","$573,068,425"
205,Sherlock Holmes: A Game of Shadows,2011,"$186,848,418","$348,815,025","$535,663,443"
206,The Day After Tomorrow,2004,"$186,740,799","$369,578,651","$556,319,450"
207,Mr. and Mrs. Smith,2005,"$186,336,279","$299,787,811","$486,124,090"
208,Snow White and the Seven Dwarfs,1937,"$184,925,485",$0,"$184,925,485"
209,Dances with Wolves,1990,"$184,208,842","$239,991,158","$424,200,000"
210,Batman Forever,1995,"$184,031,112","$152,498,032","$336,529,144"
211,The Fugitive,1993,"$183,875,760","$169,839,557","$353,715,317"
212,Pitch Perfect 2,2015,"$183,785,415","$103,345,386","$287,130,801"
213,The Revenant,2016,"$183,637,894","$349,312,609","$532,950,503"
214,Ocean's Eleven,2001,"$183,417,150","$267,311,379","$450,728,529"
215,The Simpsons Movie,2007,"$183,135,014","$343,936,008","$527,071,022"
216,What Women Want,2000,"$182,805,123","$191,300,000","$374,105,123"
217,The Perfect Storm,2000,"$182,618,434","$146,093,000","$328,711,434"
218,Lincoln,2012,"$182,207,973","$91,138,308","$273,346,281"
219,Grease,1978,"$181,813,770","$205,700,000","$387,513,770"
220,Liar Liar,1997,"$181,410,615","$121,300,000","$302,710,615"
221,Jurassic Park III,2001,"$181,166,115","$184,733,885","$365,900,000"
222,Thor,2011,"$181,030,624","$268,295,994","$449,326,618"
223,Mission: Impossible,1996,"$180,981,886","$276,716,108","$457,697,994"
224,Ant-Man,2015,"$180,202,163","$338,400,000","$518,602,163"
225,Planet of the Apes,2001,"$180,011,740","$182,200,000","$362,211,740"
226,Madagascar: Escape 2 Africa,2008,"$180,010,950","$419,505,894","$599,516,844"
227,X-Men Origins: Wolverine,2009,"$179,883,157","$194,942,603","$374,825,760"
228,Indiana Jones and the Temple of Doom,1984,"$179,880,271","$153,200,000","$333,080,271"
229,Top Gun,1986,"$179,800,601","$177,000,000","$356,800,601"
230,Men in Black 3,2012,"$179,020,854","$475,192,631","$654,213,485"
231,Pretty Woman,1990,"$178,406,268","$254,239,604","$432,645,872"
232,Hitch,2005,"$177,784,257","$189,000,000","$366,784,257"
233,Home,2015,"$177,397,510","$208,671,880","$386,069,390"
234,Night at the Museum: Battle of the Smithsonian,2009,"$177,243,721","$224,987,342","$402,231,063"
235,Tootsie,1982,"$177,200,000",$0,"$177,200,000"
236,How to Train Your Dragon 2,2014,"$177,002,924","$439,100,000","$616,102,924"
237,Rise of the Planet of the Apes,2011,"$176,760,185","$306,100,000","$482,860,185"
238,Captain America: The First Avenger,2011,"$176,654,505","$193,915,271","$370,569,776"
239,The Karate Kid,2010,"$176,591,618","$175,183,320","$351,774,938"
240,There's Something About Mary,1998,"$176,484,651","$183,615,348","$360,099,999"
241,Ice Age,2002,"$176,387,405","$209,728,938","$386,116,343"
242,The Bourne Supremacy,2004,"$176,087,450","$112,500,000","$288,587,450"
243,The Lego Batman Movie,2017,"$175,750,384","$135,190,613","$310,940,997"
244,Get Out,2017,"$175,484,140","$76,450,366","$251,934,506"
245,Crocodile Dundee,1986,"$174,803,506","$153,400,000","$328,203,506"
246,The Boss Baby,2017,"$174,510,660","$317,883,431","$492,394,091"
247,Home Alone 2: Lost in New York,1992,"$173,585,516","$185,409,334","$358,994,850"
248,Elf,2003,"$173,398,518","$46,837,892","$220,236,410"
249,National Treasure,2004,"$173,005,002","$158,318,408","$331,323,410"
250,Air Force One,1997,"$172,956,409","$142,311,944","$315,268,353"
251,Rain Man,1988,"$172,825,435","$239,974,565","$412,800,000"
252,Apollo 13,1995,"$172,070,496","$162,029,504","$334,100,000"
253,Tron: Legacy,2010,"$172,062,763","$228,000,000","$400,062,763"
254,The Matrix,1999,"$171,479,930","$292,037,453","$463,517,383"
255,True Grit,2010,"$171,243,005","$81,033,923","$252,276,928"
256,Tarzan,1999,"$171,091,819","$277,100,000","$448,191,819"
257,A Beautiful Mind,2001,"$170,708,996","$146,959,062","$317,668,058"
258,Chicago,2002,"$170,687,518","$136,084,820","$306,772,338"
259,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"$170,664,282","$596,525,043","$767,189,325"
260,The Help,2011,"$169,705,587","$43,414,417","$213,120,004"
261,Hotel Transylvania 2,2015,"$169,700,110","$301,051,288","$470,751,398"
262,Hidden Figures,2016,"$169,373,983","$60,143,641","$229,517,624"
263,Quantum of Solace,2008,"$169,368,427","$422,323,651","$591,692,078"
264,Bridesmaids,2011,"$169,106,725","$120,420,305","$289,527,030"
265,Wild Hogs,2007,"$168,213,584","$85,341,799","$253,555,383"
266,Kong: Skull Island,2017,"$168,052,812","$393,084,915","$561,137,727"
267,3 Men and a Baby,1987,"$167,780,960",$0,"$167,780,960"
268,Gone Girl,2014,"$167,767,189","$200,800,000","$368,567,189"
269,Casino Royale,2006,"$167,365,000","$427,055,283","$594,420,283"
270,Meet the Parents,2000,"$166,225,040","$138,374,859","$304,599,899"
271,Fifty Shades of Grey,2015,"$166,167,230","$404,830,871","$570,998,101"
272,2012,2009,"$166,112,167","$622,296,372","$788,408,539"
273,Close Encounters of the Third Kind,1977,"$166,000,000","$171,700,000","$337,700,000"
274,Robin Hood: Prince of Thieves,1991,"$165,493,908","$225,006,092","$390,500,000"
275,Kung Fu Panda 2,2011,"$165,249,063","$499,588,484","$664,837,547"
276,Hannibal,2001,"$165,092,266","$185,008,014","$350,100,280"
277,Catch Me if You Can,2002,"$164,606,800","$191,005,491","$355,612,291"
278,The Proposal,2009,"$163,958,031","$150,751,686","$314,709,717"
279,Big Daddy,1999,"$163,479,795","$65,161,488","$228,641,283"
280,Clash of the Titans,2010,"$163,214,888","$330,000,000","$493,214,888"
281,The Sound of Music,1965,"$163,214,286","$123,000,000","$286,214,286"
282,The SpongeBob Movie: Sponge Out of Water,2015,"$162,994,032","$148,600,000","$311,594,032"
283,Batman Returns,1992,"$162,833,635","$103,990,656","$266,824,291"
284,Django Unchained,2012,"$162,805,434","$287,142,889","$449,948,323"
285,A Bug's Life,1998,"$162,798,565","$200,296,754","$363,095,319"
286,The Pursuit of Happyness,2006,"$162,586,036","$144,739,597","$307,325,633"
287,Jason Bourne,2016,"$162,192,920","$254,004,139","$416,197,059"
288,Grown Ups,2010,"$162,001,186","$110,222,244","$272,223,430"
289,The Waterboy,1998,"$161,491,646","$28,700,000","$190,191,646"
290,Shark Tale,2004,"$161,412,000","$210,505,043","$371,917,043"
291,Ice Age: Continental Drift,2012,"$161,321,843","$718,443,294","$879,765,137"
292,Straight Outta Compton,2015,"$161,058,685","$40,985,196","$202,043,881"
293,Die Another Day,2002,"$160,942,139","$271,000,000","$431,942,139"
294,The Sting,1973,"$159,616,327",$0,"$159,616,327"
295,The Heat,2013,"$159,581,587","$70,146,187","$229,727,774"
296,Star Trek Beyond,2016,"$158,848,340","$177,549,972","$336,398,312"
297,The Firm,1993,"$158,340,892","$112,000,000","$270,340,892"
298,The Longest Yard,2005,"$158,119,460","$32,201,108","$190,320,568"
299,X-Men,2000,"$157,299,717","$139,040,000","$296,339,717"
300,Scary Movie,2000,"$157,019,771","$120,180,229","$277,200,000"
301,Fatal Attraction,1987,"$156,645,693","$163,454,307","$320,100,000"
302,What Lies Beneath,2000,"$155,464,351","$133,229,638","$288,693,989"
303,X-Men: Apocalypse,2016,"$155,442,489","$387,300,000","$542,742,489"
304,The Mummy,1999,"$155,385,488","$261,000,000","$416,385,488"
305,San Andreas,2015,"$155,190,832","$314,400,000","$469,590,832"
306,Snow White and the Huntsman,2012,"$155,136,755","$245,884,991","$401,021,746"
307,Fast & Furious,2009,"$155,064,265","$208,000,000","$363,064,265"
308,Over the Hedge,2006,"$155,019,340","$188,377,907","$343,397,247"
309,Fantastic Four,2005,"$154,696,080","$176,021,000","$330,717,080"
310,Horton Hears a Who,2008,"$154,529,439","$144,948,447","$299,477,886"
311,Who Framed Roger Rabbit?,1988,"$154,112,492","$197,387,508","$351,500,000"
312,Jerry Maguire,1996,"$153,952,592","$120,047,408","$274,000,000"
313,Trolls,2016,"$153,707,064","$191,072,982","$344,780,046"
314,Beverly Hills Cop II,1987,"$153,665,036","$123,000,000","$276,665,036"
315,Mad Max: Fury Road,2015,"$153,636,354","$217,105,812","$370,742,166"
316,Scooby-Doo,2002,"$153,294,164","$123,000,000","$276,294,164"
317,101 Dalmatians,1961,"$153,000,000",$0,"$153,000,000"
318,Sex and the City,2008,"$152,647,258","$262,600,000","$415,247,258"
319,Runaway Bride,1999,"$152,257,509","$157,880,669","$310,138,178"
320,La La Land,2016,"$151,101,803","$282,707,470","$433,809,273"
321,Divergent,2014,"$150,947,895","$125,067,070","$276,014,965"
322,Rambo: First Blood Part II,1985,"$150,415,432","$149,984,568","$300,400,000"
323,We're the Millers,2013,"$150,394,119","$117,422,157","$267,816,276"
324,Terminator 3: Rise of the Machines,2003,"$150,358,296","$282,700,000","$433,058,296"
325,Daddy’s Home,2015,"$150,357,137","$88,400,000","$238,757,137"
326,G.I. Joe: The Rise of Cobra,2009,"$150,201,498","$152,267,519","$302,469,017"
327,American Hustle,2013,"$150,117,807","$107,760,487","$257,878,294"
328,Neighbors,2014,"$150,086,800","$120,857,628","$270,944,428"
329,Puss in Boots,2011,"$149,260,504","$405,726,973","$554,987,477"
330,Les Miserables,2012,"$148,809,770","$293,359,282","$442,169,052"
331,Knocked Up,2007,"$148,761,765","$70,504,187","$219,265,952"
332,As Good as it Gets,1997,"$148,478,011","$165,633,912","$314,111,923"
333,Little Fockers,2010,"$148,438,600","$162,211,974","$310,650,574"
334,Megamind,2010,"$148,415,853","$173,471,355","$321,887,208"
335,Hotel Transylvania,2012,"$148,313,048","$230,192,764","$378,505,812"
336,Talladega Nights: The Ballad of Ricky Bobby,2006,"$148,213,377","$14,657,148","$162,870,525"
337,Gremlins,1984,"$148,168,459",$0,"$148,168,459"
338,Gran Torino,2008,"$148,095,302","$126,447,783","$274,543,085"
339,Lethal Weapon 2,1989,"$147,253,986","$80,046,014","$227,300,000"
340,X-Men: First Class,2011,"$146,408,305","$209,000,000","$355,408,305"
341,Paul Blart: Mall Cop,2009,"$146,336,178","$39,568,572","$185,904,750"
342,True Lies,1994,"$146,282,411","$219,017,589","$365,300,000"
343,Lilo & Stitch,2002,"$145,771,527","$100,028,473","$245,800,000"
344,American Pie 2,2001,"$145,096,820","$141,403,180","$286,500,000"
345,Taken,2009,"$145,000,989","$81,940,596","$226,941,585"
346,The Great Gatsby,2013,"$144,840,419","$206,200,000","$351,040,419"
347,The Santa Clause,1994,"$144,833,357","$44,966,643","$189,800,000"
348,"I, Robot",2004,"$144,801,023","$203,828,562","$348,629,585"
349,Lethal Weapon 3,1992,"$144,731,527","$174,968,473","$319,700,000"
350,The Fast and the Furious,2001,"$144,512,310","$62,000,000","$206,512,310"
351,Cars 3,2017,"$144,391,201","$105,900,000","$250,291,201"
352,Doctor Dolittle,1998,"$144,156,605","$150,000,000","$294,156,605"
353,Mamma Mia!,2008,"$144,130,063","$471,618,814","$615,748,877"
354,Rio,2011,"$143,619,809","$343,900,000","$487,519,809"
355,Kung Fu Panda 3,2016,"$143,528,619","$375,085,765","$518,614,384"
356,Juno,2007,"$143,495,265","$87,954,837","$231,450,102"
357,Marley & Me,2008,"$143,153,751","$104,658,260","$247,812,011"
358,The Smurfs,2011,"$142,614,158","$421,135,165","$563,749,323"
359,xXx,2002,"$141,930,000","$125,270,000","$267,200,000"
360,The Jungle Book,1967,"$141,843,000",$0,"$141,843,000"
361,The Chronicles of Narnia: Prince Caspian,2008,"$141,621,490","$275,719,798","$417,341,288"
362,National Lampoon's Animal House,1978,"$141,600,000",$0,"$141,600,000"
363,Pocahontas,1995,"$141,579,773","$205,520,227","$347,100,000"
